addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80113B00	8	func_80113B00	high	0	void	1	0	0		leaf
0x80113B08	188	BootEntry	low	0	u32	0	2	0		break|gp
0x80113BC4	508	func_80113BC4	medium	0	u32	1	17	40	s0|s1|s2|s3|s4|ra	
0x80113DC0	116	func_80113DC0	verified	0	void	1	11	24	ra	
0x80113E34	376	func_80113E34	verified	4	u32	1	5	56	s0|s1|s2|s3|ra	
0x80113FAC	40	func_80113FAC	high	2	u32	1	0	0		leaf
0x80113FD4	160	func_80113FD4	verified	0	u32	1	6	32	s0|s1|ra	
0x80114074	76	func_80114074	high	0	u32	1	0	0		leaf
0x801140C0	192	func_801140C0	verified	0	u32	1	5	24	s0|ra	
0x801141D8	92	func_801141D8	verified	2	u32	6	3	32	s0|s1|ra	
0x80114234	52	func_80114234	medium	1	u32	10	1	24	ra	orphan
0x80114268	80	func_80114268	medium	0	u32	0	4	24	s0|ra	orphan
0x801142B8	88	func_801142B8	verified	1	u32	1	3	24	s0|ra	
0x80114310	88	func_80114310	medium	1	u32	0	4	24	s0|ra	orphan
0x80114648	104	func_80114648	high	0	u32	1	0	0		leaf
0x801146B0	288	func_801146B0	verified	0	u32	1	13	40	s0|s1|s2|s3|ra	
0x801147D0	132	func_801147D0	high	1	u32	1	0	0		leaf
0x80114C9C	248	func_80114C9C	medium	1	u32	0	2	40	s0|s1|ra	orphan
0x80114D94	216	func_80114D94	medium	0	u32	0	4	40	s0|s1|ra	orphan
0x80114EF0	6700	func_80114EF0	low	3	u32	0	7	0	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	orphan
0x8011691C	788	func_8011691C	medium	2	u32	1	2	56	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	orphan
0x80116C30	96	func_80116C30	low	2	u32	1	0	0		leaf|orphan
0x80116C90	592	func_80116C90	medium	0	u32	1	2	40	s0|s1|ra	orphan
0x80116EE0	476	func_80116EE0	medium	1	u32	0	4	48	s0|s1|s2|s3|ra	orphan
0x801170BC	192	func_801170BC	medium	0	u32	0	3	40	s0|s1|ra	orphan
0x80117BB4	68	func_80117BB4	low	0	u32	1	0	0		leaf|orphan
0x80117BF8	600	func_80117BF8	medium	0	u32	0	4	40	s0|s1|s2|s3|s4|ra	orphan
0x8011861C	552	func_8011861C	medium	1	u32	0	4	40	s0|s1|s2|ra	orphan
